sheet_row,pnr,company,seats,fare,reasons
104,99JJUK,"COMPANY INVESTMENT","30","75390","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""99JJUK"" appears on 2 rows (103, 104)"
105,99IDME,"TRAVEL NETWORK & TOURS-RWP-B2B2349","10","75390","duplicate PNR ""99IDME"" appears on 2 rows (105, 106)"
106,99IDME,"COMPANY INVESTMENT","30","75390","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""99IDME"" appears on 2 rows (105, 106)"
107,99FYXW,"TRAVEL NETWORK & TOURS-RWP-B2B2349","10","75390","duplicate PNR ""99FYXW"" appears on 2 rows (107, 108)"
108,99FYXW,"COMPANY INVESTMENT","30","75390","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""99FYXW"" appears on 2 rows (107, 108)"
109,99FW8S,"TRAVEL NETWORK & TOURS-RWP-B2B2349","10","75390","duplicate PNR ""99FW8S"" appears on 2 rows (109, 110)"
110,99FW8S,"COMPANY INVESTMENT","30","75390","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""99FW8S"" appears on 2 rows (109, 110)"
111,99I2QH,"TRAVEL NETWORK & TOURS-RWP-B2B2349","10","75390","duplicate PNR ""99I2QH"" appears on 2 rows (111, 112)"
112,99I2QH,"COMPANY INVESTMENT","30","75390","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""99I2QH"" appears on 2 rows (111, 112)"
114,798O5U,"TRAVEL NETWORK & TOURS-RWP-B2B2349","10","75390","duplicate PNR ""798O5U"" appears on 2 rows (114, 115)"
115,798O5U,"COMPANY INVESTMENT","20","75390","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""798O5U"" appears on 2 rows (114, 115)"
116,99HPC9,"TRAVEL NETWORK & TOURS-RWP-B2B2349","10","75390","duplicate PNR ""99HPC9"" appears on 2 rows (116, 117)"
117,99HPC9,"COMPANY INVESTMENT","30","75390","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""99HPC9"" appears on 2 rows (116, 117)"
153,9D2AQ6,"COMPANY INVESTMENT","20","115926","duplicate PNR ""9D2AQ6"" appears on 2 rows (153, 154)"
154,9D2AQ6,"COMPANY INVESTMENT","16","115926","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""9D2AQ6"" appears on 2 rows (153, 154)"
156,9BRQDZ,"COMPANY INVESTMENT","20","115926","duplicate PNR ""9BRQDZ"" appears on 2 rows (156, 157)"
157,9BRQDZ,"COMPANY INVESTMENT","15","115926","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""9BRQDZ"" appears on 2 rows (156, 157)"
165,9D4LPD,"COMPANY INVESTMENT","20","115926","duplicate PNR ""9D4LPD"" appears on 2 rows (165, 166)"
166,9D4LPD,"COMPANY INVESTMENT","25","115926","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""9D4LPD"" appears on 2 rows (165, 166)"
206,7DXTMP,"SKY PASS TRAVEL & TOUR (BILAL CHATHA)-RWP-B2B1985","32","115955","duplicate PNR ""7DXTMP"" appears on 2 rows (206, 252)"
215,7ESI56,"SKY PASS TRAVEL & TOUR (BILAL CHATHA)-RWP-B2B1985","20","115955","duplicate PNR ""7ESI56"" appears on 2 rows (215, 238)"
219,7ES8UE,"SKY PASS TRAVEL & TOUR (BILAL CHATHA)-RWP-B2B1985","41","115955","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""7ES8UE"" appears on 2 rows (219, 239)"
223,7F4JTM,"SKY PASS TRAVEL & TOUR (BILAL CHATHA)-RWP-B2B1985","53","115955","duplicate PNR ""7F4JTM"" appears on 2 rows (223, 243)"
224,7F358T,"SKY PASS TRAVEL & TOUR (BILAL CHATHA)-RWP-B2B1985","60","115955","duplicate PNR ""7F358T"" appears on 2 rows (224, 265)"
226,7F4AKZ,"SKY PASS TRAVEL & TOUR (BILAL CHATHA)-RWP-B2B1985","60","115955","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""7F4AKZ"" appears on 2 rows (226, 266)"
229,7F86RG,"SKY PASS TRAVEL & TOUR (BILAL CHATHA)-RWP-B2B1985","60","115955","duplicate PNR ""7F86RG"" appears on 2 rows (229, 270)"
234,7EBXU2,"KJ TRAVELS-RWP-B2B2237","50","115955","duplicate PNR ""7EBXU2"" appears on 2 rows (234, 298)"
235,7ECZ8U,"KJ TRAVELS-RWP-B2B2237","30","115955","duplicate PNR ""7ECZ8U"" appears on 2 rows (235, 254)"
238,7ESI56,"KJ TRAVELS-RWP-B2B2237","30","115955","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""7ESI56"" appears on 2 rows (215, 238)"
239,7ES8UE,"KJ TRAVELS-RWP-B2B2237","30","115955","duplicate PNR ""7ES8UE"" appears on 2 rows (219, 239)"
240,7EX7SR,"KJ TRAVELS-RWP-B2B2237","30","115955","duplicate PNR ""7EX7SR"" appears on 2 rows (240, 312)"
242,7EXHDG,"KJ TRAVELS-RWP-B2B2237","30","115955","duplicate PNR ""7EXHDG"" appears on 2 rows (242, 262)"
243,7F4JTM,"KJ TRAVELS-RWP-B2B2237","46","115955","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""7F4JTM"" appears on 2 rows (223, 243)"
244,7F5BBV,"KJ TRAVELS-RWP-B2B2237","30","115955","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""7F5BBV"" appears on 2 rows (244, 320)"
251,7DT2SL,"MAQBOOL TRAVELS-RWP-B2B687","50","115955","duplicate PNR ""7DT2SL"" appears on 2 rows (251, 276)"
252,7DXTMP,"MAQBOOL TRAVELS-RWP-B2B687","30","115955","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""7DXTMP"" appears on 2 rows (206, 252)"
254,7ECZ8U,"MAQBOOL TRAVELS-RWP-B2B687","20","115955","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""7ECZ8U"" appears on 2 rows (235, 254)"
262,7EXHDG,"MAQBOOL TRAVELS-RWP-B2B687","50","115955","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""7EXHDG"" appears on 2 rows (242, 262)"
265,7F358T,"MAQBOOL TRAVELS-RWP-B2B687","39","115955","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""7F358T"" appears on 2 rows (224, 265)"
266,7F4AKZ,"MAQBOOL TRAVELS-RWP-B2B687","39","115955","duplicate PNR ""7F4AKZ"" appears on 2 rows (226, 266)"
267,7F7CW4,"MAQBOOL TRAVELS-RWP-B2B687","45","115955","duplicate PNR ""7F7CW4"" appears on 2 rows (267, 322)"
269,7F7LKY,"MAQBOOL TRAVELS-RWP-B2B687","49","115955","duplicate PNR ""7F7LKY"" appears on 2 rows (269, 324)"
270,7F86RG,"MAQBOOL TRAVELS-RWP-B2B687","39","115955","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""7F86RG"" appears on 2 rows (229, 270)"
276,7DT2SL,"SIDDIQUE IBRAHIM TRAVEL & TOURS-RWP-B2B1563","40","175455","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""7DT2SL"" appears on 2 rows (251, 276)"
285,9ARDTF,"QFC GROUP (PVT) LTD-RWP-B2B6022","20","115955","duplicate PNR ""9ARDTF"" appears on 2 rows (285, 286)"
286,9ARDTF,"COMPANY INVESTMENT","30","115955","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""9ARDTF"" appears on 2 rows (285, 286)"
298,7EBXU2,"QFC GROUP (PVT) LTD-RWP-B2B6022","50","115955","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""7EBXU2"" appears on 2 rows (234, 298)"
312,7EX7SR,"QFC GROUP (PVT) LTD-RWP-B2B6022","49","115955","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""7EX7SR"" appears on 2 rows (240, 312)"
320,7F5BBV,"QFC GROUP (PVT) LTD-RWP-B2B6022","40","115955","duplicate PNR ""7F5BBV"" appears on 2 rows (244, 320)"
322,7F7CW4,"QFC GROUP (PVT) LTD-RWP-B2B6022","50","115955","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""7F7CW4"" appears on 2 rows (267, 322)"
324,7F7LKY,"QFC GROUP (PVT) LTD-RWP-B2B6022","50","115955","EMD round 1 incomplete — missing payment %; duplicate PNR ""7F7LKY"" appears on 2 rows (269, 324)"
331,9D4UQE,"COMPANY INVESTMENT","16","115955","duplicate PNR ""9D4UQE"" appears on 2 rows (331, 332)"
332,9D4UQE,"COMPANY INVESTMENT","20","115955","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""9D4UQE"" appears on 2 rows (331, 332)"
333,9BRGCD,"COMPANY INVESTMENT","24","115955","duplicate PNR ""9BRGCD"" appears on 2 rows (333, 334)"
334,9BRGCD,"COMPANY INVESTMENT","15","115955","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""9BRGCD"" appears on 2 rows (333, 334)"
335,9OUM8F,"COMPANY INVESTMENT","16","115955","duplicate PNR ""9OUM8F"" appears on 2 rows (335, 336)"
336,9OUM8F,"COMPANY INVESTMENT","20","115955","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""9OUM8F"" appears on 2 rows (335, 336)"
338,9BPRN6,"COMPANY INVESTMENT","25","115955","duplicate PNR ""9BPRN6"" appears on 2 rows (338, 339)"
339,9BPRN6,"COMPANY INVESTMENT","21","115955","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""9BPRN6"" appears on 2 rows (338, 339)"
342,9D6GRD,"COMPANY INVESTMENT","17","115955","duplicate PNR ""9D6GRD"" appears on 2 rows (342, 343)"
343,9D6GRD,"COMPANY INVESTMENT","20","115955","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""9D6GRD"" appears on 2 rows (342, 343)"
344,9BRKTG,"COMPANY INVESTMENT","25","115955","duplicate PNR ""9BRKTG"" appears on 2 rows (344, 345)"
345,9BRKTG,"COMPANY INVESTMENT","20","115955","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""9BRKTG"" appears on 2 rows (344, 345)"
346,9BQ42D,"COMPANY INVESTMENT","20","115955","duplicate PNR ""9BQ42D"" appears on 2 rows (346, 347)"
347,9BQ42D,"COMPANY INVESTMENT","25","115955","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""9BQ42D"" appears on 2 rows (346, 347)"
349,9BT3R5,"COMPANY INVESTMENT","20","115955","duplicate PNR ""9BT3R5"" appears on 2 rows (349, 350)"
350,9BT3R5,"COMPANY INVESTMENT","25","115955","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""9BT3R5"" appears on 2 rows (349, 350)"
353,9D4QQN,"COMPANY INVESTMENT","20","115955","duplicate PNR ""9D4QQN"" appears on 2 rows (353, 354)"
354,9D4QQN,"COMPANY INVESTMENT","15","115955","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""9D4QQN"" appears on 2 rows (353, 354)"
451,7DVOLC,"COMPANY INVESTMENT","14","115830","duplicate PNR ""7DVOLC"" appears on 2 rows (451, 452)"
452,7DVOLC,"COMPANY INVESTMENT","36","115830","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""7DVOLC"" appears on 2 rows (451, 452)"
478,7EX6UY,"COMPANY INVESTMENT","30","115830","duplicate PNR ""7EX6UY"" appears on 2 rows (478, 479)"
479,7EX6UY,"COMPANY INVESTMENT","69","115830","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""7EX6UY"" appears on 2 rows (478, 479)"
695,77CB9H,"COMPANY INVESTMENT","59","75270","duplicate PNR ""77CB9H"" appears on 2 rows (695, 696)"
696,77CB9H,"COMPANY INVESTMENT","10","75270","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""77CB9H"" appears on 2 rows (695, 696)"
698,77B36Z,"COMPANY INVESTMENT","44","75270","duplicate PNR ""77B36Z"" appears on 2 rows (698, 699)"
699,77B36Z,"COMPANY INVESTMENT","10","75270","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""77B36Z"" appears on 2 rows (698, 699)"
701,779IAH,"COMPANY INVESTMENT","59","75270","duplicate PNR ""779IAH"" appears on 2 rows (701, 702)"
702,779IAH,"COMPANY INVESTMENT","10","75270","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""779IAH"" appears on 2 rows (701, 702)"
745,7785DC,"COMPANY INVESTMENT","59","75200","duplicate PNR ""7785DC"" appears on 2 rows (745, 746)"
746,7785DC,"COMPANY INVESTMENT","10","75200","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""7785DC"" appears on 2 rows (745, 746)"
747,77AOWK,"COMPANY INVESTMENT","59","75200","duplicate PNR ""77AOWK"" appears on 2 rows (747, 748)"
748,77AOWK,"COMPANY INVESTMENT","10","75200","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""77AOWK"" appears on 2 rows (747, 748)"
749,77C6CP,"COMPANY INVESTMENT","59","75200","duplicate PNR ""77C6CP"" appears on 2 rows (749, 750)"
750,77C6CP,"COMPANY INVESTMENT","10","75200","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""77C6CP"" appears on 2 rows (749, 750)"
751,77BQGM,"COMPANY INVESTMENT","59","75200","duplicate PNR ""77BQGM"" appears on 2 rows (751, 752)"
752,77BQGM,"COMPANY INVESTMENT","10","75200","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""77BQGM"" appears on 2 rows (751, 752)"
753,77BTMA,"COMPANY INVESTMENT","59","75200","duplicate PNR ""77BTMA"" appears on 2 rows (753, 754)"
754,77BTMA,"COMPANY INVESTMENT","10","75200","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""77BTMA"" appears on 2 rows (753, 754)"
755,77CRPB,"COMPANY INVESTMENT","59","75200","duplicate PNR ""77CRPB"" appears on 2 rows (755, 756)"
756,77CRPB,"COMPANY INVESTMENT","10","75200","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""77CRPB"" appears on 2 rows (755, 756)"
757,77AEV7,"COMPANY INVESTMENT","59","75200","duplicate PNR ""77AEV7"" appears on 2 rows (757, 758)"
758,77AEV7,"COMPANY INVESTMENT","10","75200","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""77AEV7"" appears on 2 rows (757, 758)"
759,77AFBV,"COMPANY INVESTMENT","59","75200","duplicate PNR ""77AFBV"" appears on 2 rows (759, 760)"
760,77AFBV,"COMPANY INVESTMENT","10","75200","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""77AFBV"" appears on 2 rows (759, 760)"
1127,8WKIIF,"","11","74930","missing investor company"
1128,8WL7KL,"","11","74930","missing investor company"
